~,ui_st_community,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,ui_mcm_menu_exo,ui_inv_ap_res,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection,ui_inv_outfit_artefact_count,st_data_export_outfit_artefact_count_max,ui_inv_outfit_additional_weight,ui_inv_outfit_speed
army_outfit,army,army_outfit_name,army_outfit_description,12.00,8167,F,N,21,17%,5%,2%,3%,3%,2%,11%,9%,19%,1,1,10,97%
bandit_nbc_outfit,bandit,bandit_nbc_outfit_name,bandit_nbc_outfit_description,4.90,90972,L,N,18,14%,9%,11%,11%,21%,8%,6%,21%,11%,3,5,44,112%
bandit_novice_outfit,bandit,bandit_novice_outfit_name,bandit_novice_outfit_description,3.50,7065,F,N,6,4%,7%,6%,7%,11%,4%,4%,11%,4%,1,1,15,111%
bandit_novice_outfit_alt,bandit,bandit_novice_alt_outfit_name,bandit_novice_alt_outfit_description,4.90,6458,F,N,13,16%,9%,3%,4%,6%,2%,5%,6%,8%,1,1,9,108%
banditmerc_outfit,bandit,banditmerc_outfit_name,banditmerc_outfit_description,7.00,35087,L,N,20,17%,10%,6%,6%,6%,4%,16%,6%,21%,2,3,18,101%
cs_light_novice_outfit,csky,csky_light_novice_outfit_name,csky_light_novice_outfit_description,9.00,31058,F,N,17,7%,10%,31%,13%,5%,11%,9%,16%,11%,2,3,13,101%
cs_light_outfit,csky,csky_light_outfit_name,csky_light_outfit_description,9.00,40148,L,N,19,13%,9%,42%,19%,7%,16%,16%,26%,11%,2,3,12,101%
cs_nbc_outfit,csky,cs_nbc_outfit_name,cs_nbc_outfit_description,7.00,67798,L,N,23,14%,8%,12%,13%,25%,11%,6%,21%,11%,3,4,34,109%
cs_novice_outfit,csky,csky_novice_outfit_name,csky_novice_outfit_description,5.00,6534,F,N,8,4%,7%,8%,8%,13%,6%,4%,11%,4%,1,1,12,108%
dolg_novice_outfit,dolg,dolg_novice_outfit_name,dolg_novice_outfit_description,4.50,7494,F,N,8,4%,14%,8%,7%,11%,5%,3%,8%,4%,1,1,12,109%
dolg_red_outfit,dolg,dolg_red_outfit_name,dolg_red_outfit_description,8.10,30570,L,N,23,16%,18%,8%,26%,16%,7%,5%,21%,16%,3,3,16,107%
ghillie_outfit,st_data_export_unknown,ghillie_outfit_name,ghillie_outfit_description,5.00,67100,L,N,17,12%,20%,12%,13%,21%,7%,9%,8%,6%,4,5,14,110%
isg_lcs_camo_outfit,isg,isg_lcs_camo_outfit_name,isg_lcs_camo_outfit_description,12.00,53390,L,N,30,17%,9%,6%,6%,6%,4%,16%,4%,21%,3,5,12,95%
merc_fighter_outfit,killer,merc_fighter_outfit_name,merc_fighter_outfit_description,16.00,43872,L,N,30,21%,9%,6%,8%,6%,3%,16%,6%,25%,2,4,10,96%
merc_scout_outfit,killer,merc_scout_outfit_name,merc_scout_outfit_description,12.00,47600,L,N,26,18%,9%,6%,8%,6%,5%,13%,6%,25%,2,4,18,100%
merc_wolven_outfit,killer,merc_wolven_outfit_name,merc_wolven_outfit_description,9.00,77833,L,N,26,18%,14%,11%,46%,11%,5%,16%,16%,31%,3,5,9,101%
monolith_nbc_outfit,monolith,monolith_nbc_outfit_name,monolith_nbc_outfit_description,7.00,81756,L,N,23,18%,9%,11%,11%,21%,7%,8%,21%,11%,3,5,30,108%
nbc_dolg_outfit,dolg,nbc_dolg_outfit_name,nbc_dolg_outfit_description,6.30,51662,L,N,23,16%,12%,13%,11%,21%,9%,5%,16%,11%,3,3,34,110%
nbc_freedom_outfit,freedom,nbc_freedom_outfit_name,nbc_freedom_outfit_description,7.00,84780,L,N,25,16%,7%,11%,11%,27%,9%,7%,21%,11%,3,5,34,108%
nbc_merc_outfit,killer,nbc_merc_outfit_name,nbc_merc_outfit_description,7.00,47987,L,N,25,18%,8%,11%,13%,21%,7%,6%,21%,13%,3,3,25,109%
nbc_outfit,stalker,nbc_outfit_name,nbc_outfit_description,6.30,89789,L,N,21,14%,10%,11%,11%,21%,11%,6%,25%,11%,4,5,40,109%
novice_outfit,st_data_export_unknown,novice_outfit_name,novice_outfit_description,5.00,7290,F,N,8,4%,7%,8%,9%,13%,8%,6%,13%,6%,1,1,12,108%
novice_outfit_camo,st_data_export_unknown,novice_outfit_camo_name,novice_outfit_camo_description,8.00,11766,F,N,10,7%,7%,6%,6%,9%,3%,4%,8%,4%,2,2,15,106%
novice_outfit_tourist,stalker,novice_outfit_tourist_name,novice_outfit_tourist_description,4.50,14116,F,N,7,4%,8%,6%,7%,11%,6%,4%,13%,4%,2,2,14,108%
redline_novice_outfit,st_data_export_unknown,redline_novice_outfit_name,redline_novice_outfit_description,5.00,12656,F,N,8,4%,7%,6%,7%,11%,5%,4%,11%,4%,2,2,10,112%
stalker_autumn_outfit,stalker,stalker_autumn_outfit_name,stalker_autumn_outfit_description,8.10,55420,L,N,19,14%,12%,35%,15%,6%,18%,16%,31%,11%,3,4,14,99%
stalker_outfit,stalker,stalker_outfit_name,stalker_outfit_description,8.10,59933,L,N,17,13%,12%,35%,15%,6%,15%,16%,31%,11%,3,4,24,101%
stalker_predator_outfit,stalker,stalker_predator_outfit_name,stalker_predator_outfit_description,8.10,77990,L,N,21,14%,18%,6%,26%,16%,9%,6%,31%,16%,4,5,19,106%
stalker_salamander_outfit,stalker,stalker_salamander_outfit_name,stalker_salamander_outfit_description,8.10,62115,L,N,22,14%,18%,11%,36%,11%,9%,16%,18%,26%,3,4,15,101%
svoboda_novice_outfit,freedom,svoboda_novice_outfit_name,svoboda_novice_outfit_description,5.00,6581,F,N,9,4%,7%,6%,7%,14%,5%,5%,11%,4%,1,1,12,107%
travel_outfit,stalker,travel_outfit_name,travel_outfit_description,5.40,96307,L,N,15,10%,15%,16%,15%,25%,18%,11%,13%,6%,6,6,43,96%
trenchcoat_freedom_brown_outfit,freedom,trenchcoat_freedom_brown_outfit_name,trenchcoat_brown_outfit_description,8.00,31044,F,N,15,9%,12%,11%,11%,21%,7%,5%,11%,6%,1,3,18,104%
trenchcoat_green_outfit,st_data_export_unknown,trenchcoat_green_outfit_name,trenchcoat_green_outfit_description,12.00,43628,L,N,20,12%,18%,16%,15%,35%,9%,6%,11%,11%,3,3,22,105%
trenchcoat_outfit,st_data_export_unknown,trenchcoat_outfit_name,trenchcoat_outfit_description,8.00,20895,F,N,14,9%,14%,11%,11%,16%,7%,4%,11%,6%,2,2,18,105%
